Open,High,Low,Close,ticker,Date,DateInt
199.91000366210938,202.69000244140625,192.1999969482422,194.77000427246094,TSLA,0,20230403
197.32000732421875,198.74000549316406,190.32000732421875,192.5800018310547,TSLA,1,20230404
190.52000427246094,190.67999267578125,183.75999450683594,185.52000427246094,TSLA,2,20230405
183.0800018310547,186.38999938964844,179.74000549316406,185.05999755859375,TSLA,3,20230406
275.0899963378906,280.0,273.3599853515625,279.6499938964844,NVDA,0,20230403
279.6600036621094,280.0,273.07000732421875,274.5299987792969,NVDA,1,20230404
268.2900085449219,269.9800109863281,263.95001220703125,268.80999755859375,NVDA,2,20230405
265.8399963378906,270.79998779296875,264.2699890136719,270.3699951171875,NVDA,3,20230406
286.5199890136719,288.2699890136719,283.95001220703125,287.2300109863281,MSFT,0,20230403
287.2300109863281,290.45001220703125,285.6700134277344,287.17999267578125,MSFT,1,20230404
285.8500061035156,287.1499938964844,282.9200134277344,284.3399963378906,MSFT,2,20230405
283.2099914550781,292.0799865722656,282.0299987792969,291.6000061035156,MSFT,3,20230406
164.27000427246094,166.2899932861328,164.22000122070312,166.1699981689453,AAPL,0,20230403
166.60000610351562,166.83999633789062,165.11000061035156,165.6300048828125,AAPL,1,20230404
164.74000549316406,165.0500030517578,161.8000030517578,163.75999450683594,AAPL,2,20230405
162.42999267578125,164.9600067138672,162.0,164.66000366210938,AAPL,3,20230406
208.83999633789062,213.49000549316406,208.1999969482422,213.07000732421875,META,0,20230403
213.38999938964844,216.24000549316406,212.5399932861328,214.72000122070312,META,1,20230404
214.14999389648438,215.19000244140625,209.94000244140625,211.47999572753906,META,2,20230405
209.25,216.94000244140625,208.64999389648438,216.10000610351562,META,3,20230406
102.38999938964844,104.52999877929688,101.93000030517578,104.36000061035156,GOOGL,0,20230403
104.33000183105469,105.58000183105469,104.04000091552734,104.72000122070312,GOOGL,1,20230404
105.77999877929688,106.0999984741211,103.66000366210938,104.47000122070312,GOOGL,2,20230405
105.26000213623047,109.16999816894531,104.33000183105469,108.41999816894531,GOOGL,3,20230406
102.30000305175781,103.29000091552734,101.43000030517578,102.41000366210938,AMZN,0,20230403
102.75,104.19999694824219,102.11000061035156,103.94999694824219,AMZN,1,20230404
103.91000366210938,103.91000366210938,100.75,101.0999984741211,AMZN,2,20230405
100.75,102.37999725341797,99.80000305175781,102.05999755859375,AMZN,3,20230406
96.69999694824219,96.79000091552734,94.80999755859375,96.55999755859375,AMD,0,20230403
97.04000091552734,97.2699966430664,95.20999908447266,95.87000274658203,AMD,1,20230404
94.3499984741211,94.5,91.36000061035156,92.55999755859375,AMD,2,20230405
91.47000122070312,92.91000366210938,90.62000274658203,92.47000122070312,AMD,3,20230406
102.66999816894531,104.94999694824219,102.37999725341797,104.91000366210938,GOOG,0,20230403
104.83999633789062,106.0999984741211,104.5999984741211,105.12000274658203,GOOG,1,20230404
106.12000274658203,106.54000091552734,104.10199737548828,104.94999694824219,GOOG,2,20230405
105.7699966430664,109.62999725341797,104.81500244140625,108.9000015258789,GOOG,3,20230406
100.88999938964844,101.75,97.61000061035156,98.38999938964844,BABA,0,20230403
98.94000244140625,101.47000122070312,97.26000213623047,100.72000122070312,BABA,1,20230404
99.23999786376953,100.44999694824219,97.66000366210938,98.55000305175781,BABA,2,20230405
98.52999877929688,103.23999786376953,98.2699966430664,102.73999786376953,BABA,3,20230406
59.810001373291016,59.810001373291016,57.869998931884766,59.61000061035156,MU,0,20230403
59.68000030517578,60.099998474121094,56.95000076293945,57.27000045776367,MU,1,20230404
56.81999969482422,57.11000061035156,56.0099983215332,57.02000045776367,MU,2,20230405
56.95000076293945,59.150001525878906,56.79999923706055,58.560001373291016,MU,3,20230406
496.5,499.20001220703125,495.0,497.0299987792969,COST,0,20230403
496.5,502.5799865722656,495.5,497.7300109863281,COST,1,20230404
499.0,504.1300048828125,495.1600036621094,497.1300048828125,COST,2,20230405
482.0,487.8500061035156,477.5,485.9800109863281,COST,3,20230406
485.20001220703125,496.1300048828125,483.489990234375,494.19000244140625,UNH,0,20230403
493.0299987792969,496.1000061035156,491.8399963378906,493.25,UNH,1,20230404
497.3900146484375,511.739990234375,496.1000061035156,509.2300109863281,UNH,2,20230405
511.0,514.239990234375,507.1499938964844,512.8099975585938,UNH,3,20230406
113.38999938964844,116.8499984741211,113.12000274658203,116.12999725341797,XOM,0,20230403
116.26000213623047,116.69999694824219,114.16999816894531,115.0199966430664,XOM,1,20230404
115.3499984741211,117.0,114.30999755859375,116.98999786376953,XOM,2,20230405
116.86000061035156,117.18000030517578,114.7699966430664,115.05000305175781,XOM,3,20230406
154.9499969482422,157.00999450683594,153.94000244140625,156.85000610351562,JNJ,0,20230403
156.97000122070312,158.97000122070312,156.58999633789062,158.49000549316406,JNJ,1,20230404
164.3699951171875,165.66000366210938,162.75999450683594,165.61000061035156,JNJ,2,20230405
165.99000549316406,167.22999572753906,164.8000030517578,165.14999389648438,JNJ,3,20230406
123.0,123.08999633789062,119.71099853515625,121.45999908447266,ABNB,0,20230403
121.68000030517578,122.05999755859375,118.20999908447266,118.45999908447266,ABNB,1,20230404
117.87000274658203,117.87000274658203,111.48999786376953,115.33999633789062,ABNB,2,20230405
113.33999633789062,113.41500091552734,107.66000366210938,109.69000244140625,ABNB,3,20230406
341.8299865722656,348.5799865722656,340.3999938964844,348.2799987792969,NFLX,0,20230403
348.489990234375,349.79998779296875,343.95001220703125,346.75,NFLX,1,20230404
345.29998779296875,345.42999267578125,336.25,342.3500061035156,NFLX,2,20230405
339.3399963378906,340.4800109863281,332.6300048828125,339.3299865722656,NFLX,3,20230406
